Case ID,Prefix length,Trace Prefix Act,Ground truth,Predicted,Damerau-Levenshtein,Jaccard,Weight,Compliance
Case 1144,2,¡¥,£¢­¥£¤,£¤,0.33333333333333337,0.4,0.5,Satisfied
Case 1145,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 115,2,¡¢,¥¥£¤,¥£¤,0.75,1.0,0.5,Satisfied
Case 1156,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1159,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1164,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1169,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1176,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1179,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1185,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1193,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 12,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1210,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1221,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1235,2,¡¢,¥¥£¤,¥£¤,0.75,1.0,0.5,Satisfied
Case 1238,2,¡¢,¥­£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1239,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1246,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1249,2,§¥,¥¥¥,£¤,0.0,0.0,0.5,Satisfied
Case 1250,2,¢¥,£¢¥£¤,£¤,0.4,0.5,0.5,Satisfied
Case 1254,2,¡¡,¥¥£¤,¢£¤,0.5,0.5,0.5,Satisfied
Case 1261,2,¢¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.5,Satisfied
Case 1269,2,¡¢,¢¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1272,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1275,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 129,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1290,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1292,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1299,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 13,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1301,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1303,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1304,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1305,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1309,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 131,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1313,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1314,2,¡¢,¦¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1315,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1318,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1319,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1323,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1327,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1330,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1332,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1338,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1356,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1358,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1359,2,§¥,¥,£¤,0.0,0.0,0.5,Satisfied
Case 1364,2,¡¢,¥­­£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 1366,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1371,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1375,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1384,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1386,2,¡¢,¥£¥£¤,¥£¤,0.6,1.0,0.5,Satisfied
Case 1387,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1388,2,¡¢,­­¥£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 1393,2,¡¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 1396,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1397,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1398,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 140,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1407,2,¡¢,¥¢¥£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 1409,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1420,2,¡¢,¨¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 143,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1432,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1433,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 144,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1441,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1445,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1449,2,¡¥,¢¥£¤,£¤,0.5,0.5,0.5,Satisfied
Case 145,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1450,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1451,2,¡¢,­¥£¥£¤,¥£¤,0.5,0.75,0.5,Satisfied
Case 1457,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1460,2,¡¢,¥¢¥£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 1464,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1465,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1466,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 147,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1471,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1478,2,¡¡,¢¥¢¥£¤,¢£¤,0.5,0.75,0.5,Satisfied
Case 1484,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1487,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1495,2,¡¢,­­¥£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 15,2,¡¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 1500,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1501,2,¢¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1506,2,¡¥,¥¢£¥£¤,£¤,0.33333333333333337,0.5,0.5,Satisfied
Case 1507,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1509,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1510,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1519,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1535,2,¡¡,¡¥£¤,¢£¤,0.5,0.4,0.5,Satisfied
Case 154,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1543,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1553,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 156,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1562,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1570,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1571,2,¡¢,¥¥¥¥¥,¥£¤,0.19999999999999996,0.33333333333333326,0.5,Satisfied
Case 1574,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1577,2,§¡,¡¢¥£¤,¢£¤,0.6,0.6,0.5,Satisfied
Case 1580,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1587,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1603,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 1604,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1605,2,¡¢,¢¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1609,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1610,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1615,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1650,2,¡¦,¦¬¬­¥£¤,£¤,0.2857142857142857,0.33333333333333326,0.5,Satisfied
Case 1655,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1658,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1663,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1664,2,¢¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1671,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1674,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1675,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1679,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1681,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1682,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 169,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1691,2,§¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 1697,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1704,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1709,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1711,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1718,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1723,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1730,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1735,2,¡­,¥£¥£¤,£¤,0.4,0.6666666666666666,0.5,Satisfied
Case 1746,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1754,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1760,2,¡¢,¥£¢¥¢£¤,¥£¤,0.4285714285714286,0.75,0.5,Satisfied
Case 1761,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1764,2,¡­,¥£¥£¤,£¤,0.4,0.6666666666666666,0.5,Satisfied
Case 1771,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1772,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1776,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1777,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1787,2,¡¢,¥¥£¥£¤,¥£¤,0.5,1.0,0.5,Satisfied
Case 1788,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1791,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1792,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1795,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1799,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 18,2,¡¢,¥£¥£¤,¥£¤,0.6,1.0,0.5,Satisfied
Case 1812,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1813,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1814,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1815,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1817,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1823,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1826,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1828,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1831,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 184,2,¡¢,¢¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 1843,2,¡¡,¥£¤,¢£¤,0.6666666666666667,0.5,0.5,Satisfied
Case 1848,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1858,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 1860,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1868,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1869,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1874,2,§¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 1882,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1884,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1887,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1892,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1894,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1900,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1901,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1903,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 191,2,¡¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 1915,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1916,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1918,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 192,2,¡¡,¢¥£¤¢¥£¤,¢£¤,0.375,0.75,0.5,Satisfied
Case 1924,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 193,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1946,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1961,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1968,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1975,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1978,2,¡¥,¢¥£¤,£¤,0.5,0.5,0.5,Satisfied
Case 1980,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 1987,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 20,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2007,2,¡¢,­¥£¥£¤,¥£¤,0.5,0.75,0.5,Satisfied
Case 2013,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 202,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2021,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2022,2,¡¡,¡¥£¤,¢£¤,0.5,0.4,0.5,Satisfied
Case 2035,2,¡¢,¦­¥£¤,¥£¤,0.6,0.6,0.5,Satisfied
Case 2037,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2050,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2059,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2062,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2068,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2074,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2081,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2083,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2092,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2093,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2097,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 210,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2103,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2104,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2105,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2108,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 211,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2112,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2117,2,¡¥,¥£¢¥£¥£¤,£¤,0.25,0.5,0.5,Satisfied
Case 2121,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2123,2,¡¡,¢¥£¥£¤,¢£¤,0.5,0.75,0.5,Satisfied
Case 2125,2,¡¢,¥­,¥£¤,0.33333333333333337,0.25,0.5,Satisfied
Case 2126,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2134,2,¡¥,¢£¤,£¤,0.6666666666666667,0.6666666666666666,0.5,Satisfied
Case 2141,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2142,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2143,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2152,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2156,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2157,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 2163,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2167,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2168,2,¡¢,¥¥£¤,¥£¤,0.75,1.0,0.5,Satisfied
Case 2172,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2176,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2177,2,¡¥,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.5,Satisfied
Case 2183,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2187,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2191,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2197,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2201,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2203,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2210,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2211,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2215,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2219,2,¡¢,¥¢£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2220,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2227,2,¡¥,£¥£¤,£¤,0.5,0.6666666666666666,0.5,Satisfied
Case 2228,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2229,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2232,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2236,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2239,2,¡¢,¥£¥£¢¥£¤,¥£¤,0.375,0.75,0.5,Satisfied
Case 2245,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2253,2,¢¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2256,2,¡¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2267,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2268,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2279,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2285,2,¡¥,¢¥£¤,£¤,0.5,0.5,0.5,Satisfied
Case 2290,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2296,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 23,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 230,2,¡¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 2300,2,¡¢,­­¦­,¥£¤,0.0,0.0,0.5,Satisfied
Case 2302,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2308,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2315,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 232,2,¡¢,¥¥£¥£¤,¥£¤,0.5,1.0,0.5,Satisfied
Case 2322,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2328,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 233,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2330,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2335,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2342,2,¡¢,¥¥£¤,¥£¤,0.75,1.0,0.5,Satisfied
Case 2346,2,§¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 2348,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 235,2,§¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 2356,2,¡¢,¥¥£¤,¥£¤,0.75,1.0,0.5,Satisfied
Case 2362,2,¢¥,£¤,£¤,1.0,1.0,0.5,Satisfied
Case 2367,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2368,2,¡¢,¥£¥£¥£­¢¥£¤,¥£¤,0.2727272727272727,0.6,0.5,Satisfied
Case 237,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2374,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2375,2,¡¡,¡¢¥£¤,¢£¤,0.6,0.6,0.5,Satisfied
Case 2380,2,¡¢,¥¢£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2381,2,¡¡,¡¥£¥£¤,¢£¤,0.33333333333333337,0.4,0.5,Satisfied
Case 2390,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2391,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2398,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2399,2,¡¢,¢¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2403,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2415,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2417,2,¡¢,¥­£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 242,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2431,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2432,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2436,2,¡¥,£¤¢,£¤,0.6666666666666667,0.6666666666666666,0.5,Satisfied
Case 2447,2,¡¢,¢¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2448,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2451,2,¡¢,¦­­¥£,¥£¤,0.19999999999999996,0.4,0.5,Satisfied
Case 2452,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2455,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2458,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2465,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2466,2,¡¢,­­¥£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 247,2,§¢,¥£¤,£¤,0.6666666666666667,0.6666666666666666,0.5,Satisfied
Case 2473,2,¡¢,¥¢¥£¤,¥£¤,0.6,0.75,0.5,Satisfied
Case 2474,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2476,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2481,2,¡¢,­¥£¤,¥£¤,0.75,0.75,0.5,Satisfied
Case 2490,2,¡¡,¢¥£¤,¢£¤,0.75,0.75,0.5,Satisfied
Case 2492,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2498,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2499,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2504,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2508,2,¡¢,¥£¤,¥£¤,1.0,1.0,0.5,Satisfied
Case 2512,2,¡¢,¥£¥£¤,¥£¤,0.6,1.0,0.5,Satisfied
Case 2514,2,¡¢,¥¥£¤,¥£¤,0.75,1.0,0.5,Satisfied
